,name,lat,lng,zip
0,Pet Supermarket,34.050338,-84.088098,30024
1,Pet Supplies Plus Marietta,34.0347179,-84.4660212,30066
2,Pets Unleashed,34.6148062,-83.52665019999999,30523
3,Mountain Pets & Water Gardens,35.0861323,-84.0358558,28906
4,EarthWise Pet Supply & Grooming Buford,34.0932649,-83.9382257,30519
5,Pet Supermarket,34.0039643,-83.9873179,30043
6,Pet Supplies Plus Maryville,35.7403093,-83.99182619999999,37801
7,Pet Supplies Plus Acworth,34.0902536,-84.5859964,30102
8,Pet Supermarket,34.0175627,-84.1868429,30097
9,Pet Supermarket,34.0881059,-84.482433,30188
10,Top Dogs Pet Boutique,34.0438827,-84.3381412,30076
11,Petsense by Tractor Supply,33.99537,-83.33536169999999,30601
12,Petco,34.7882286,-84.9972627,30720
13,PetSmart,34.04437619999999,-84.2909114,30022
14,Petsense by Tractor Supply,34.2507468,-83.458443,30529
15,Top Dogs Pet Boutique,34.0131371,-84.5671072,30144
16,Pet Supermarket,34.0110159,-84.7555079,30132
17,Petland Kennesaw,34.0093481,-84.576357,30144
18,Pet Supplies Plus Gainesville,34.3001403,-83.8591537,30501
19,Petsense by Tractor Supply,34.4658092,-84.46055679999999,30143
20,Pet Supermarket,34.050338,-84.088098,30024
21,Pet Supplies Plus Marietta,34.0347179,-84.4660212,30066
22,Pets Unleashed,34.6148062,-83.52665019999999,30523
23,Mountain Pets & Water Gardens,35.0861323,-84.0358558,28906
24,EarthWise Pet Supply & Grooming Buford,34.0932649,-83.9382257,30519
25,Pet Supermarket,34.0039643,-83.9873179,30043
26,Pet Supplies Plus Maryville,35.7403093,-83.99182619999999,37801
27,Pet Supplies Plus Acworth,34.0902536,-84.5859964,30102
28,Pet Supermarket,34.0175627,-84.1868429,30097
29,Pet Supermarket,34.0881059,-84.482433,30188
30,Top Dogs Pet Boutique,34.0438827,-84.3381412,30076
31,Petsense by Tractor Supply,33.99537,-83.33536169999999,30601
32,Petco,34.7882286,-84.9972627,30720
33,PetSmart,34.04437619999999,-84.2909114,30022
34,Petsense by Tractor Supply,34.2507468,-83.458443,30529
35,Top Dogs Pet Boutique,34.0131371,-84.5671072,30144
36,Pet Supermarket,34.0110159,-84.7555079,30132
37,Petland Kennesaw,34.0093481,-84.576357,30144
38,Pet Supplies Plus Gainesville,34.3001403,-83.8591537,30501
39,Petsense by Tractor Supply,34.4658092,-84.46055679999999,30143
40,Pet Supermarket,34.050338,-84.088098,30024
41,Pet Supplies Plus Smyrna,33.8757611,-84.5335336,30080
42,PetSmart,33.926773,-84.3466064,30346
43,Petco,33.9539698,-84.1339562,30096
44,Pet Supermarket,33.8598862,-84.5166071,30080
45,Pet Supplies Plus Marietta,34.0347179,-84.4660212,30066
46,PetSmart,33.8411152,-84.3727066,30305
47,Pet Supermarket,33.9672094,-84.48862980000001,30062
48,Pet Supplies Plus Athens,33.9470167,-83.4069671,30606
49,Pet Supermarket,34.0039643,-83.9873179,30043
50,PetSmart,33.952895,-84.1371649,30096
51,Pet Supplies Plus Acworth,34.0902536,-84.5859964,30102
52,Petco,33.858025,-84.38276859999999,30342
53,Pet Supermarket,34.0175627,-84.1868429,30097
54,Pets Unleashed,34.6148062,-83.52665019999999,30523
55,City Dog Market,33.8671134,-84.3362671,30319
56,Pet Supermarket,34.0881059,-84.482433,30188
57,Mountain Pets & Water Gardens,35.0861323,-84.0358558,28906
58,Pet Supermarket,33.9521809,-84.6503024,30064
59,Pet Supplies Plus Lilburn,33.8700069,-84.0935969,30047
60,Garden City Pet,33.5266443,-82.0713817,30907
61,Petco,33.5241175,-82.1175269,30809
62,PetSmart,33.4912763,-82.0812179,30909
63,Pet Supermarket,33.9859382,-81.2458797,29072
64,Petsense by Tractor Supply,33.4818,-82.19407,30813
65,Hollywood Feed,33.4968561,-82.0789274,30907
66,Petsense by Tractor Supply,33.99537,-83.33536169999999,30601
67,PetSmart,33.4973344,-81.9622741,29841
68,Petco,33.5201575,-81.7224911,29803
69,PetSmart,33.5055279,-81.7126246,29803
70,PetSmart,33.1063855,-83.25482029999999,31061
71,PetSmart,34.20401260000001,-82.1908636,29649
72,Peachy Paws,34.4358541,-83.10576089999999,30553
73,Petsense by Tractor Supply,34.4879036,-82.6762392,29624
74,Modern Companion Pet Boutique,34.1580416,-81.3493812,29036
75,Harmony Pet Supplies,33.4253588,-83.2675768,31024
76,"Downtown Dog - Aiken, SC",33.5601693,-81.7228834,29801
77,Barkmart,33.573912,-81.83620379999999,29829
78,Lazy Creek Pet Food Center,33.917466,-81.51519569999999,29070
79,Puddle Jumper Pups,33.4762866,-82.19829589999999,30813
80,Garden City Pet,33.5266443,-82.0713817,30907
81,Pet Supplies Plus West Columbia,33.9837972,-81.0998171,29169
82,Petco,33.5241175,-82.1175269,30809
83,PetSmart,33.4912763,-82.0812179,30909
84,Pet Supermarket,33.9859382,-81.2458797,29072
85,Petsense by Tractor Supply,33.4818,-82.19407,30813
86,Lazy Creek Pet Food Center,33.9956757,-81.22161570000002,29072
87,Pet Supplies Plus Irmo,34.0869569,-81.1863517,29063
88,Petco,34.0010072,-81.2159432,29072
89,PetSmart,34.0693835,-81.1594822,29212
90,PetSmart,33.4973344,-81.9622741,29841
91,Hollywood Feed,33.4968561,-82.0789274,30907
92,Petco,34.0704591,-81.157184,29212
93,Hollywood Feed,34.0062145,-81.20444119999999,29072
94,Petco,33.5201575,-81.7224911,29803
95,PetSmart,34.005499,-81.19574,29072
96,PetSmart,33.5055279,-81.7126246,29803
97,PetSmart,34.20401260000001,-82.1908636,29649
98,Woody’s Pet Supplies and Grooming,34.0012619,-81.1009297,29169
99,Peachy Paws,34.4358541,-83.10576089999999,30553
100,PetSmart,33.4912763,-82.0812179,30909
101,Pet Supplies Plus Irmo,34.0869569,-81.1863517,29063
102,Pet Supermarket,33.9859382,-81.2458797,29072
103,Garden City Pet,33.5266443,-82.0713817,30907
104,Petsense by Tractor Supply,33.4818,-82.19407,30813
105,PetSmart,34.0693835,-81.1594822,29212
106,PetSmart,34.005499,-81.19574,29072
107,PetSmart,33.4973344,-81.9622741,29841
108,PetSmart,33.1063855,-83.25482029999999,31061
109,PetSmart,33.5055279,-81.7126246,29803
110,Lazy Creek Pet Food Center,33.9956757,-81.22161570000002,29072
111,Petco,33.5241175,-82.1175269,30809
112,Petco,34.0010072,-81.2159432,29072
113,Petsense by Tractor Supply,32.5425036,-82.9519353,31021
114,Hollywood Feed,33.4968561,-82.0789274,30907
115,Hollywood Feed,34.0062145,-81.20444119999999,29072
116,Pets With Style,34.077884,-81.15648829999999,29212
117,Petco,34.0704591,-81.157184,29212
118,Petco,33.5201575,-81.7224911,29803
119,Harmony Pet Supplies,33.4253588,-83.2675768,31024
120,Garden City Pet,33.5266443,-82.0713817,30907
121,Petco,33.5241175,-82.1175269,30809
122,PetSmart,33.4912763,-82.0812179,30909
123,Pet Supermarket,33.9859382,-81.2458797,29072
124,Petsense by Tractor Supply,33.4818,-82.19407,30813
125,Hollywood Feed,33.4968561,-82.0789274,30907
126,Petsense by Tractor Supply,33.99537,-83.33536169999999,30601
127,PetSmart,33.4973344,-81.9622741,29841
128,Petco,33.5201575,-81.7224911,29803
129,Petsense by Tractor Supply,32.5425036,-82.9519353,31021
130,PetSmart,33.5055279,-81.7126246,29803
131,PetSmart,33.1063855,-83.25482029999999,31061
132,PetSmart,34.20401260000001,-82.1908636,29649
133,Modern Companion Pet Boutique,34.1580416,-81.3493812,29036
134,Harmony Pet Supplies,33.4253588,-83.2675768,31024
135,"Downtown Dog - Aiken, SC",33.5601693,-81.7228834,29801
136,Barkmart,33.573912,-81.83620379999999,29829
137,Lazy Creek Pet Food Center,33.917466,-81.51519569999999,29070
138,Puddle Jumper Pups,33.4762866,-82.19829589999999,30813
139,Fetch 501,33.4734265,-81.958969,30901
140,Garden City Pet,33.5266443,-82.0713817,30907
141,Pet Supplies Plus West Columbia,33.9837972,-81.0998171,29169
142,Petco,33.5241175,-82.1175269,30809
143,PetSmart,33.4912763,-82.0812179,30909
144,Pet Supermarket,33.9859382,-81.2458797,29072
145,Petsense by Tractor Supply,33.4818,-82.19407,30813
146,Lazy Creek Pet Food Center,33.9956757,-81.22161570000002,29072
147,Pet Supplies Plus Irmo,34.0869569,-81.1863517,29063
148,Petco,34.0010072,-81.2159432,29072
149,PetSmart,34.0693835,-81.1594822,29212
150,PetSmart,33.4973344,-81.9622741,29841
151,Hollywood Feed,33.4968561,-82.0789274,30907
152,Petco,34.0704591,-81.157184,29212
153,Hollywood Feed,34.0062145,-81.20444119999999,29072
154,Petco,33.5201575,-81.7224911,29803
155,PetSmart,34.005499,-81.19574,29072
156,PetSmart,33.5055279,-81.7126246,29803
157,PetSmart,34.20401260000001,-82.1908636,29649
158,Woody’s Pet Supplies and Grooming,34.0012619,-81.1009297,29169
159,Modern Companion Pet Boutique,34.1580416,-81.3493812,29036
160,Pet Supplies Plus Columbia - Five Points,34.00291199999999,-81.0184402,29205
161,Garden City Pet,33.5266443,-82.0713817,30907
162,Petco,33.5241175,-82.1175269,30809
163,PetSmart,33.4912763,-82.0812179,30909
164,Pet Supermarket,33.9859382,-81.2458797,29072
165,Petsense by Tractor Supply,33.4818,-82.19407,30813
166,Lazy Creek Pet Food Center,33.9956757,-81.22161570000002,29072
167,Pet Supplies Plus West Columbia,33.9837972,-81.0998171,29169
168,Petco,34.0010072,-81.2159432,29072
169,Pet Supplies Plus Irmo,34.0869569,-81.1863517,29063
170,PetSmart,34.0693835,-81.1594822,29212
171,PetSmart,33.4973344,-81.9622741,29841
172,Hollywood Feed,33.4968561,-82.0789274,30907
173,Petco,34.0704591,-81.157184,29212
174,Hollywood Feed,34.0062145,-81.20444119999999,29072
175,Petco,33.5201575,-81.7224911,29803
176,PetSmart,34.005499,-81.19574,29072
177,PetSmart,33.5055279,-81.7126246,29803
178,PetSmart,34.20401260000001,-82.1908636,29649
179,Woody’s Pet Supplies and Grooming,34.0012619,-81.1009297,29169
180,Pet Supermarket,30.2624511,-81.6237929,32217
181,Pet Supermarket,30.2640955,-81.55840649999999,32216
182,Pet Supermarket,30.1875604,-81.62707739999999,32257
183,Pet Supermarket,30.2054568,-81.7591583,32244
184,Pet Supermarket,29.675545,-82.33880669999999,32609
185,Pet Supermarket,30.2873056,-81.7213709,32210
186,Pet Supermarket,29.8795038,-81.326146,32084
187,Pet Supermarket,30.2885374,-81.3956323,32250
188,Pet Supermarket,30.3175559,-81.4726537,32225
189,Pet Supermarket,30.1422699,-81.7658136,32065
190,Pet Supermarket,29.5540932,-81.22952409999999,32137
191,Pet Supermarket,29.2690141,-81.10086919999999,32174
192,PetSmart,30.3274361,-81.5482442,32225
193,PetSmart,30.4763902,-81.6426602,32218
194,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
195,PetSmart,29.6229983,-82.3805296,32608
196,PetSmart,30.2711295,-81.3900309,32250
197,Pet Creations,30.4515094,-81.63737479999999,32218
198,Pet Supermarket,29.26164709999999,-81.02814049999999,32118
199,PetSmart,30.19998589999999,-81.5502113,32256
200,Pet Supermarket,30.2624511,-81.6237929,32217
201,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
202,Pet Supermarket,30.2873056,-81.7213709,32210
203,Pet Supermarket,30.2640955,-81.55840649999999,32216
204,Pet Supermarket,29.8795038,-81.326146,32084
205,Pet Supermarket,30.1875604,-81.62707739999999,32257
206,Pet Supermarket,30.2054568,-81.7591583,32244
207,Pet Supermarket,29.675545,-82.33880669999999,32609
208,Pet Supermarket,30.3175559,-81.4726537,32225
209,Pet Supermarket,29.5540932,-81.22952409999999,32137
210,Pet Supermarket,30.2848241,-81.4610276,32224
211,Pet Creations,30.4515094,-81.63737479999999,32218
212,Pet Supermarket,30.3524532,-81.5812534,32277
213,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
214,Pet and Feed Store,30.2473951,-81.7999338,32210
215,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
216,Pet Supermarket,30.1422699,-81.7658136,32065
217,EarthWise Pet,30.2903108,-81.3923713,32250
218,Petco,29.6571701,-82.4156051,32605
219,Pet Supermarket,30.1929248,-81.5487701,32256
220,Pet Supermarket,30.2624511,-81.6237929,32217
221,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
222,Pet Supermarket,30.2873056,-81.7213709,32210
223,Pet Supermarket,30.2640955,-81.55840649999999,32216
224,Pet Supermarket,29.8795038,-81.326146,32084
225,Pet Supermarket,30.1875604,-81.62707739999999,32257
226,Pet Supermarket,29.675545,-82.33880669999999,32609
227,Pet Supermarket,30.2054568,-81.7591583,32244
228,Pet Supermarket,29.5540932,-81.22952409999999,32137
229,Pet Supermarket,30.3175559,-81.4726537,32225
230,Pet Supermarket,30.2848241,-81.4610276,32224
231,Pet Supermarket,30.3524532,-81.5812534,32277
232,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
233,Pet Creations,30.4515094,-81.63737479999999,32218
234,Pet and Feed Store,30.2473951,-81.7999338,32210
235,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
236,Pet Supermarket,30.1422699,-81.7658136,32065
237,EarthWise Pet,30.2903108,-81.3923713,32250
238,Petco,29.6571701,-82.4156051,32605
239,Pet Supermarket,30.1929248,-81.5487701,32256
240,Pet Supermarket,30.2624511,-81.6237929,32217
241,Pet Supplies Plus Atlantic Beach,30.3259848,-81.4109848,32233
242,Pet Supermarket,30.2873056,-81.7213709,32210
243,Pet Supermarket,30.2640955,-81.55840649999999,32216
244,Pet Supermarket,29.8795038,-81.326146,32084
245,Pet Supermarket,30.1875604,-81.62707739999999,32257
246,Pet Supermarket,30.2054568,-81.7591583,32244
247,Pet Supermarket,29.675545,-82.33880669999999,32609
248,Pet Supermarket,30.3175559,-81.4726537,32225
249,Pet Supermarket,29.5540932,-81.22952409999999,32137
250,Pet Supermarket,30.2848241,-81.4610276,32224
251,Pet Creations,30.4515094,-81.63737479999999,32218
252,Pet Supermarket,30.3524532,-81.5812534,32277
253,Pet Supplies Plus Orange Park,30.155529,-81.7490349,32073
254,Pet and Feed Store,30.2473951,-81.7999338,32210
255,Earth Pets Natural Pet Market - San Marco,30.3082793,-81.65425330000001,32207
256,Pet Supermarket,30.1422699,-81.7658136,32065
257,Pet Supplies Plus Brunswick,31.2187829,-81.4944343,31520
258,EarthWise Pet,30.2903108,-81.3923713,32250
259,Petco,29.6571701,-82.4156051,32605
260,Pet Supermarket,30.2624511,-81.6237929,32217
