zip|latitude|longitude|irs_estimated_population
30512|34.87|-83.95|18470
30514|34.87|-83.95|2962
30572|34.73|-84.06|960
30802|33.6|-82.31|6260
30809|33.56|-82.17|50770
30813|33.44|-82.2|44950
30814|33.41|-82.31|9040
30903|33.49|-82.16|995
30907|33.52|-82.09|44640
32003|30.1|-81.71|27600
32004|30.23|-81.38|1133
32006|30.11|-81.72|435
32009|30.38|-81.93|3150
32011|30.56|-81.83|15090
32024|30.09|-82.73|17310
32025|30.11|-82.58|15990
32026|30.06|-82.19|65
32030|30.12|-81.76|86
32033|29.78|-81.42|4490
32034|30.65|-81.44|36540
32035|30.65|-81.44|1953
32038|29.92|-82.71|8570
32040|30.27|-82.16|7740
32041|30.63|-81.57|1804
32042|29.88|-82.24|392
32043|29.98|-81.67|35270
32044|29.86|-82.13|1480
32046|30.69|-81.92|8900
32050|30.05|-81.9|1897
32054|30.02|-82.33|9240
32055|30.19|-82.64|13500
32056|30.19|-82.64|3635
32058|30.04|-82.07|3190
32061|30.1|-82.49|300
32063|30.28|-82.12|12490
32065|30.15|-81.8|37830
32067|30.16|-81.7|1087
32068|30.05|-81.9|53910
32072|30.18|-82.42|179
32073|30.16|-81.7|38490
32079|29.98|-81.81|711
32080|29.8|-81.26|20370
32081|30.08|-81.4|27360
32082|30.23|-81.38|30150
32083|30.06|-82.23|1780
32084|29.89|-81.31|29430
32085|29.89|-81.31|2242
32086|29.76|-81.3|29640
32087|30.25|-82.27|3940
32091|29.94|-82.11|13140
32092|29.94|-81.51|46750
32095|30.01|-81.41|18490
32097|30.63|-81.57|22690
32099|30.33|-81.65|0
32110|29.46|-81.25|7710
32135|29.57|-81.21|3176
32136|29.47|-81.13|7890
32137|29.57|-81.21|43610
32142|29.57|-81.21|0
32143|29.42|-81.16|0
32145|29.71|-81.5|5160
32160|29.77|-82.01|358
32164|29.52|-81.24|46280
32201|30.33|-81.65|277
32202|30.33|-81.65|2350
32203|30.34|-81.67|2203
32204|30.32|-81.68|6490
32205|30.3|-81.72|24310
32206|30.35|-81.64|13720
32207|30.29|-81.64|31250
32208|30.39|-81.68|27540
32209|30.36|-81.7|27230
32210|30.27|-81.75|56360
32211|30.33|-81.58|29750
32212|30.22|-81.67|1320
32214|30.21|-81.68|195
32215|30.33|-81.65|22
32216|30.28|-81.58|35370
32217|30.24|-81.63|17410
32218|30.49|-81.67|60760
32219|30.42|-81.81|12890
32220|30.34|-81.86|11700
32221|30.26|-81.85|28390
32222|30.22|-81.83|15550
32223|30.16|-81.65|24130
32224|30.27|-81.47|34350
32225|30.36|-81.51|52950
32226|30.48|-81.51|20730
32227|30.39|-81.4|1870
32228|30.39|-81.4|120
32229|30.33|-81.65|150
32230|30.33|-81.65|0
32231|30.33|-81.65|27
32232|30.33|-81.65|27
32233|30.33|-81.4|21210
32234|30.23|-81.98|7240
32235|30.33|-81.65|506
32236|30.33|-81.65|1438
32237|30.33|-81.65|14
32238|30.33|-81.65|839
32239|30.33|-81.65|850
32240|30.29|-81.39|624
32241|30.33|-81.65|1374
32244|30.22|-81.75|55370
32245|30.33|-81.65|1267
32246|30.29|-81.52|50940
32247|30.33|-81.65|1089
32250|30.29|-81.39|25930
32254|30.34|-81.73|11360
32255|30.33|-81.65|482
32256|30.18|-81.47|48920
32257|30.19|-81.61|36020
32258|30.14|-81.55|35010
32259|30.08|-81.59|65720
32260|30.33|-81.65|310
32266|30.31|-81.39|6600
32267|30.38|-81.41|0
32277|30.38|-81.59|27650
32290|30.33|-81.65|0
32601|29.65|-82.32|9620
32602|29.67|-82.33|1034
32603|29.66|-82.35|1450
32604|29.67|-82.33|733
32605|29.68|-82.37|21360
32606|29.68|-82.44|21360
32607|29.65|-82.42|22630
32608|29.6|-82.41|37480
32609|29.67|-82.33|13590
32610|29.64|-82.34|18
32611|29.67|-82.33|70
32612|29.64|-82.35|136
32613|29.67|-82.33|0
32614|29.67|-82.33|1324
32615|29.77|-82.48|14030
32616|29.78|-82.5|3021
32618|29.53|-82.51|6240
32622|29.88|-82.33|1280
32627|29.67|-82.33|501
32631|29.7|-82.09|370
32635|29.67|-82.33|620
32641|29.64|-82.23|11150
32643|29.82|-82.59|11060
32653|29.74|-82.39|12740
32654|29.58|-82.12|140
32655|29.82|-82.59|3003
32656|29.78|-82.03|12780
32658|29.85|-82.42|668
32662|29.51|-82.1|135
32667|29.5|-82.28|3300
32669|29.64|-82.61|15960
32694|29.79|-82.17|1590
32697|29.93|-82.43|741
39824|31.55|-84.86|300
39851|31.61|-84.99|1660
39867|31.82|-84.94|280
39870|31.3|-84.37|1550
