zip|type|decommissioned|primary_city|acceptable_cities|unacceptable_cities|state|county|timezone|area_codes|world_region|country|latitude|longitude|irs_estimated_population
30002|STANDARD|0|Avondale Estates|Avondale Est||GA|DeKalb County|America/New_York|404, 470, 678, 943|NA|US|33.77|-84.26|5730
30003|PO BOX|0|Norcross||Rockbridge|GA|Gwinnett County|America/New_York|678|NA|US|33.94|-84.2|551
30004|STANDARD|0|Alpharetta|Milton||GA|Fulton County|America/New_York|470, 678, 770, 943|NA|US|34.14|-84.29|66380
30005|STANDARD|0|Alpharetta|Johns Creek||GA|Fulton County|America/New_York|470, 678, 770, 943|NA|US|34.09|-84.22|38180
30006|PO BOX|0|Marietta|||GA|Cobb County|America/New_York|678|NA|US|33.95|-84.54|1112
30007|PO BOX|0|Marietta|||GA|Cobb County|America/New_York|678|NA|US|33.95|-84.54|259
30008|STANDARD|0|Marietta|||GA|Cobb County|America/New_York|470, 678, 770, 943|NA|US|33.9|-84.59|27000
30009|STANDARD|0|Alpharetta|Milton||GA|Fulton County|America/New_York|470, 678, 770, 943|NA|US|34.08|-84.3|18980
30010|PO BOX|0|Norcross|Peachtree Cor, Peachtree Corners||GA|Gwinnett County|America/New_York|678|NA|US|33.94|-84.2|784
30011|STANDARD|0|Auburn|Carl||GA|Barrow County|America/New_York|470, 678, 770, 943|NA|US|34.01|-83.83|18450
30012|STANDARD|0|Conyers|||GA|Rockdale County|America/New_York|470, 678, 770, 943|NA|US|33.66|-84.01|24940
30013|STANDARD|0|Conyers|||GA|Rockdale County|America/New_York|470, 678, 770, 943|NA|US|33.65|-83.97|25670
30014|STANDARD|0|Covington|Porterdale|Walnut Grove|GA|Newton County|America/New_York|470, 678, 706, 762, 770, 943|NA|US|33.6|-83.85|34140
30015|PO BOX|0|Covington|||GA|Newton County|America/New_York|678|NA|US|33.6|-83.85|1785
30016|STANDARD|0|Covington|Porterdale||GA|Newton County|America/New_York|470, 678, 770, 943|NA|US|33.52|-83.93|54080
30017|STANDARD|0|Grayson|||GA|Gwinnett County|America/New_York|470, 678, 770, 943|NA|US|33.89|-83.95|24160
30018|PO BOX|0|Jersey|||GA|Walton County|America/New_York|470, 678, 770, 943|NA|US|33.72|-83.8|286
30019|STANDARD|0|Dacula|||GA|Gwinnett County|America/New_York|470, 678, 770, 943|NA|US|33.98|-83.88|49850
30021|STANDARD|0|Clarkston|||GA|DeKalb County|America/New_York|404, 470, 678, 770, 943|NA|US|33.81|-84.24|21150
30022|STANDARD|0|Alpharetta|Johns Creek||GA|Fulton County|America/New_York|470, 678, 770, 943|NA|US|34.06|-84.27|62930
30023|PO BOX|0|Alpharetta|||GA|Fulton County|America/New_York|678|NA|US|34.06|-84.27|643
30024|STANDARD|0|Suwanee|Johns Creek||GA|Gwinnett County|America/New_York|470, 678, 770, 943|NA|US|34.05|-84.07|85480
