Zip|Total Pop|Median income|PopScore|IncScore|Max Pop|Max Inc
33109|328|250,000|0.1|12.5|30922|200,000
30289|23|250,000|0|12.5|30922|200,000
33158|2166|177917|0.7|8.89585|30922|200,000
30327|9659|173761|3.1|8.68805|30922|200,000
33149|4676|169792|1.5|8.4896|30922|200,000
33076|13069|164389|4.2|8.21945|30922|200,000
33480|6364|163929|2.1|8.19645|30922|200,000
30005|13685|162808|4.4|8.1404|30922|200,000
33327|6584|158184|2.1|7.9092|30922|200,000
33473|4160|157646|1.3|7.8823|30922|200,000
32461|1152|154750|0.4|7.7375|30922|200,000
33332|3461|154652|1.1|7.7326|30922|200,000
33629|10275|152044|3.3|7.6022|30922|200,000
30075|21492|148740|7|7.437|30922|200,000
33449|3164|145952|1|7.2976|30922|200,000
30022|23386|145351|7.6|7.26755|30922|200,000
34250|233|145266|0.1|7.2633|30922|200,000
32963|7672|143438|2.5|7.1719|30922|200,000
30068|12828|143077|4.1|7.15385|30922|200,000
33556|10546|142738|3.4|7.1369|30922|200,000
32259|20520|142263|6.6|7.11315|30922|200,000
34228|4171|141250|1.3|7.0625|30922|200,000
30307|9574|140417|3.1|7.02085|30922|200,000
33029|13443|139461|4.3|6.97305|30922|200,000
33478|5040|137282|1.6|6.8641|30922|200,000
33330|4446|136839|1.4|6.84195|30922|200,000
33331|7630|136734|2.5|6.8367|30922|200,000
30004|24289|136124|7.9|6.8062|30922|200,000
30024|28222|135679|9.1|6.78395|30922|200,000
30041|25025|135591|8.1|6.77955|30922|200,000
30009|8250|135081|2.7|6.75405|30922|200,000
31025|482|135000|0.2|6.75|30922|200,000
32766|5059|134831|1.6|6.74155|30922|200,000
32133|305|134187|0.1|6.70935|30922|200,000
33156|11862|133862|3.8|6.6931|30922|200,000
33786|708|133750|0.2|6.6875|30922|200,000
31829|585|130702|0.2|6.5351|30922|200,000
32081|8250|129875|2.7|6.49375|30922|200,000
30622|4200|128571|1.4|6.42855|30922|200,000
30040|26179|128052|8.5|6.4026|30922|200,000
30319|20309|127776|6.6|6.3888|30922|200,000
33194|1962|126910|0.6|6.3455|30922|200,000
30028|10969|126485|3.5|6.32425|30922|200,000
33146|5357|125720|1.7|6.286|30922|200,000
30809|16043|125020|5.2|6.251|30922|200,000
30062|23306|124665|7.5|6.23325|30922|200,000
33498|5543|124403|1.8|6.22015|30922|200,000
33412|5513|123934|1.8|6.1967|30922|200,000
32814|4156|123635|1.3|6.18175|30922|200,000
30338|16204|123125|5.2|6.15625|30922|200,000
34201|1801|123105|0.6|6.15525|30922|200,000
34797|618|123003|0.2|6.15015|30922|200,000
30097|17011|122285|5.5|6.11425|30922|200,000
33131|12552|121730|4.1|6.0865|30922|200,000
34134|8305|121713|2.7|6.08565|30922|200,000
32082|12160|121484|3.9|6.0742|30922|200,000
34242|4053|121006|1.3|6.0503|30922|200,000
30306|11911|120679|3.9|6.03395|30922|200,000
34240|5629|120581|1.8|6.02905|30922|200,000
33626|11799|120240|3.8|6.012|30922|200,000
33328|10261|120195|3.3|6.00975|30922|200,000
34786|15251|120117|4.9|6.00585|30922|200,000
33548|2766|119705|0.9|5.98525|30922|200,000
31411|4531|119670|1.5|5.9835|30922|200,000
34211|6209|119663|2|5.98315|30922|200,000
33418|18339|119156|5.9|5.9578|30922|200,000
30152|16075|119133|5.2|5.95665|30922|200,000
32830|25|118839|0|5.94195|30922|200,000
33067|8227|118825|2.7|5.94125|30922|200,000
32561|4111|118074|1.3|5.9037|30922|200,000
30030|12642|117774|4.1|5.8887|30922|200,000
32003|11291|117414|3.7|5.8707|30922|200,000
33921|362|117240|0.1|5.862|30922|200,000
33547|9337|116464|3|5.8232|30922|200,000
34760|310|116429|0.1|5.82145|30922|200,000
30277|8013|116257|2.6|5.81285|30922|200,000
30342|14872|115779|4.8|5.78895|30922|200,000
34108|8412|115182|2.7|5.7591|30922|200,000
33301|10017|115161|3.2|5.75805|30922|200,000
34990|12144|114842|3.9|5.7421|30922|200,000
30064|18351|114496|5.9|5.7248|30922|200,000
30205|1204|114479|0.4|5.72395|30922|200,000
34202|10395|114234|3.4|5.7117|30922|200,000
32317|5280|113973|1.7|5.69865|30922|200,000
34638|10838|113625|3.5|5.68125|30922|200,000
32092|15283|113589|4.9|5.67945|30922|200,000
30215|13074|113381|4.2|5.66905|30922|200,000
32312|12408|113131|4|5.65655|30922|200,000
32361|162|112969|0.1|5.64845|30922|200,000
32836|8436|112822|2.7|5.6411|30922|200,000
31047|6193|112738|2|5.6369|30922|200,000
34289|1491|112576|0.5|5.6288|30922|200,000
33483|6512|112262|2.1|5.6131|30922|200,000
34102|5385|111742|1.7|5.5871|30922|200,000
32827|5827|111725|1.9|5.58625|30922|200,000
33957|3491|111683|1.1|5.58415|30922|200,000
33187|5656|111525|1.8|5.57625|30922|200,000
32095|5791|111084|1.9|5.5542|30922|200,000
34637|3242|111053|1|5.55265|30922|200,000
30019|15068|111033|4.9|5.55165|30922|200,000
34688|3408|110893|1.1|5.54465|30922|200,000
32832|10788|110885|3.5|5.54425|30922|200,000
30269|14885|110821|4.8|5.54105|30922|200,000
33572|9120|110558|2.9|5.5279|30922|200,000
33323|8334|110395|2.7|5.51975|30922|200,000
30290|3275|110380|1.1|5.519|30922|200,000
30309|18020|110303|5.8|5.51515|30922|200,000
30326|5354|110208|1.7|5.5104|30922|200,000
30017|7629|109890|2.5|5.4945|30922|200,000
32732|1774|109625|0.6|5.48125|30922|200,000
30115|17555|109443|5.7|5.47215|30922|200,000
33028|8792|109393|2.8|5.46965|30922|200,000
32266|3020|109375|1|5.46875|30922|200,000
34756|1391|109327|0.4|5.46635|30922|200,000
30621|2030|109259|0.7|5.46295|30922|200,000
33596|9982|108963|3.2|5.44815|30922|200,000
33470|10002|108906|3.2|5.4453|30922|200,000
34787|28229|108750|9.1|5.4375|30922|200,000
32804|8855|108662|2.9|5.4331|30922|200,000
30066|22450|108309|7.3|5.41545|30922|200,000
32949|987|108050|0.3|5.4025|30922|200,000
33326|10800|107899|3.5|5.39495|30922|200,000
32779|11108|107727|3.6|5.38635|30922|200,000
30548|7894|107727|2.6|5.38635|30922|200,000
34212|8892|107699|2.9|5.38495|30922|200,000
33031|2419|107448|0.8|5.3724|30922|200,000
33606|9110|106640|2.9|5.332|30922|200,000
33486|8955|106343|2.9|5.31715|30922|200,000
31820|4671|106131|1.5|5.30655|30922|200,000
32950|1885|105938|0.6|5.2969|30922|200,000
32820|3190|105912|1|5.2956|30922|200,000
34241|5957|105794|1.9|5.2897|30922|200,000
30317|6409|105785|2.1|5.28925|30922|200,000
33609|8462|105761|2.7|5.28805|30922|200,000
34145|8276|105315|2.7|5.26575|30922|200,000
34119|14047|105263|4.5|5.26315|30922|200,000
30033|12961|105260|4.2|5.263|30922|200,000
32250|12654|104943|4.1|5.24715|30922|200,000
33913|10612|104877|3.4|5.24385|30922|200,000
30076|16941|104658|5.5|5.2329|30922|200,000
33477|6517|104531|2.1|5.22655|30922|200,000
31324|11313|104411|3.7|5.22055|30922|200,000
33042|3023|104325|1|5.21625|30922|200,000
30517|6093|104314|2|5.2157|30922|200,000
30189|15214|104295|4.9|5.21475|30922|200,000
33458|21091|104146|6.8|5.2073|30922|200,000
30305|14504|103982|4.7|5.1991|30922|200,000
32746|18575|103941|6|5.19705|30922|200,000
33647|25717|103918|8.3|5.1959|30922|200,000
30363|2040|103879|0.7|5.19395|30922|200,000
33706|8193|103695|2.6|5.18475|30922|200,000
33715|3865|103612|1.2|5.1806|30922|200,000
33414|19761|103525|6.4|5.17625|30922|200,000
33185|8974|103401|2.9|5.17005|30922|200,000
30101|20745|103205|6.7|5.16025|30922|200,000
33051|367|103096|0.1|5.1548|30922|200,000
34219|10390|103000|3.4|5.15|30922|200,000
33558|10638|102821|3.4|5.14105|30922|200,000
30265|14146|102653|4.6|5.13265|30922|200,000
33579|13456|102109|4.4|5.10545|30922|200,000
30184|2361|102019|0.8|5.10095|30922|200,000
30345|10310|101875|3.3|5.09375|30922|200,000
33132|8969|101518|2.9|5.0759|30922|200,000
32578|13065|101422|4.2|5.0711|30922|200,000
34117|5433|101392|1.8|5.0696|30922|200,000
33431|7462|101291|2.4|5.06455|30922|200,000
34105|7721|101282|2.5|5.0641|30922|200,000
30677|7047|101224|2.3|5.0612|30922|200,000
