Zip|Total Pop|Median income|Max Pop|Max Inc|Pop Score|Inc Score
32259|20520|142263|26800|142263|8|10
32081|8250|129875|26800|142263|3|9
30809|16043|125020|26800|142263|6|9
32082|12160|121484|26800|142263|5|9
32003|11291|117414|26800|142263|4|8
32092|15283|113589|26800|142263|6|8
32095|5791|111084|26800|142263|2|8
32266|3020|109375|26800|142263|1|8
32250|12654|104943|26800|142263|5|7
32669|5857|97639|26800|142263|2|7
32226|6618|97625|26800|142263|2|7
32258|15436|95926|26800|142263|6|7
32034|17262|95869|26800|142263|6|7
32065|13601|91770|26800|142263|5|6
32223|10348|90833|26800|142263|4|6
32080|10086|87285|26800|142263|4|6
32653|6344|86508|26800|142263|2|6
32097|8210|83933|26800|142263|3|6
32225|21391|83324|26800|142263|8|6
30802|2137|82853|26800|142263|1|6
32697|71|82083|26800|142263|0|6
32224|15579|82055|26800|142263|6|6
32033|2027|81160|26800|142263|1|6
30813|14454|81133|26800|142263|5|6
32222|6327|81045|26800|142263|2|6
32068|20307|81030|26800|142263|8|6
32605|10758|80939|26800|142263|4|6
32257|17305|80644|26800|142263|6|6
32227|561|79375|26800|142263|0|6
32233|9802|79363|26800|142263|4|6
32234|3055|78997|26800|142263|1|6
32658|60|78796|26800|142263|0|6
30907|17874|77831|26800|142263|7|5
32606|10266|77733|26800|142263|4|5
32220|4590|77038|26800|142263|2|5
32043|11697|76405|26800|142263|4|5
32221|10732|75865|26800|142263|4|5
32246|23275|74401|26800|142263|9|5
32009|1413|74098|26800|142263|1|5
32137|19504|73689|26800|142263|7|5
30814|3433|72977|26800|142263|1|5
32667|1816|72179|26800|142263|1|5
32615|5993|71984|26800|142263|2|5
32073|16087|70975|26800|142263|6|5
32086|13441|70571|26800|142263|5|5
32011|5681|70215|26800|142263|2|5
32164|19649|70064|26800|142263|7|5
32256|24284|69895|26800|142263|9|5
32046|3717|69153|26800|142263|1|5
32063|4759|68750|26800|142263|2|5
32643|4122|67923|26800|142263|2|5
32084|13780|67727|26800|142263|5|5
32622|624|66563|26800|142263|0|5
32040|2841|66182|26800|142263|1|5
32087|1303|66056|26800|142263|0|5
32054|3662|65893|26800|142263|1|5
32136|3900|65772|26800|142263|1|5
32145|2108|64868|26800|142263|1|5
32218|24313|64298|26800|142263|9|5
32656|5350|63707|26800|142263|2|4
32024|7747|63013|26800|142263|3|4
32204|4359|61609|26800|142263|2|4
32216|17684|61536|26800|142263|7|4
30512|10072|61169|26800|142263|4|4
30572|487|60104|26800|142263|0|4
32219|4945|60100|26800|142263|2|4
32207|15907|59883|26800|142263|6|4
32244|24400|59848|26800|142263|9|4
32217|8820|58975|26800|142263|3|4
32083|541|58438|26800|142263|0|4
32205|14491|57758|26800|142263|5|4
32058|1397|57716|26800|142263|1|4
32618|3441|57674|26800|142263|1|4
32608|22032|57249|26800|142263|8|4
32079|180|56250|26800|142263|0|4
32210|26800|55910|26800|142263|10|4
32211|13533|54058|26800|142263|5|4
32277|12792|53931|26800|142263|5|4
32091|5714|51890|26800|142263|2|4
32025|8229|51081|26800|142263|3|4
32694|1064|50854|26800|142263|0|4
32110|3478|50528|26800|142263|1|4
32055|6305|50461|26800|142263|2|4
32038|3934|50098|26800|142263|1|4
39870|720|49038|26800|142263|0|3
32607|13077|48656|26800|142263|5|3
39867|116|47292|26800|142263|0|3
32212|222|45366|26800|142263|0|3
32609|7486|45301|26800|142263|3|3
39824|210|45043|26800|142263|0|3
32044|749|42693|26800|142263|0|3
32208|13531|39511|26800|142263|5|3
32631|172|38836|26800|142263|0|3
32202|2204|38042|26800|142263|1|3
32641|5406|37083|26800|142263|2|3
32206|7027|35313|26800|142263|3|2
32254|5265|35295|26800|142263|2|2
39851|805|32331|26800|142263|0|2
32601|9015|29059|26800|142263|3|2
32209|14492|28534|26800|142263|5|2
32603|2043|12894|26800|142263|1|1
32616|71|0|26800|142263|0|0
32072|22|0|26800|142263|0|0
32061|19|0|26800|142263|0|0
32026|0|0|26800|142263|0|0
32203|0|0|26800|142263|0|0
32214|0|0|26800|142263|0|0
32228|0|0|26800|142263|0|0
32610|0|0|26800|142263|0|0
32612|0|0|26800|142263|0|0
