,name,lat,lng,zip,parkrating
0,Pitner Road Dog Park,34.0166154,-84.726069,30101,624.0
1,Woofstock Dog Park,34.0973727,-84.5297551,30188,1856.0
2,Waggy World Paw Park,34.0715502,-84.3024543,30009,322.0
3,Newtown Dream Dog Park,34.0204337,-84.2666495,30022,2776.0
4,Rock Springs Park Dog Park,34.0381647,-84.0228284,30024,902.0
5,Tinsley Park Dog Park,35.2014749,-84.85687159999999,37312,2206.0
6,Chattapoochee Dog Park,34.0277284,-84.1393066,30097,1234.0
7,Rabbit Hill Park- Dog Park,33.9969997,-83.9244246,30019,212.0
8,PetSafe Pistol Creek Dog Park,35.7584374,-83.9757908,37803,498.0
9,McDaniel Farm Dog Park and Playground,33.9717123,-84.1201033,30096,1276.0
10,Laurel Bark Park,34.3527608,-83.8078452,30506,268.0
11,Bartow County Dog Park,34.2365264,-84.8614959,30120,126.0
12,Lakeshore Dog Park,34.7513349,-84.97440449999999,30720,546.0
13,Fowler Dog Park,34.1464424,-84.20982819999999,30040,442.0
14,Dog Park at Sweat Mountain,34.0562873,-84.4735178,30066,428.0
15,Farmers Barket Dog Park,34.8859046,-83.94893739999999,30512,42.0
16,Gatlinburg Dog Park,35.7388556,-83.4481563,37738,76.0
17,Victor-Lord Dog park,33.975702,-83.7135327,30680,54.0
18,Cherokee Bluffs Dog Park,34.1344504,-83.9127803,30542,132.0
19,Waynesville Dog Park,35.5008734,-82.9803036,28786,66.0
20,Pitner Road Dog Park,34.0166154,-84.726069,30101,624.0
21,Woofstock Dog Park,34.0973727,-84.5297551,30188,1856.0
22,Waggy World Paw Park,34.0715502,-84.3024543,30009,322.0
23,Newtown Dream Dog Park,34.0204337,-84.2666495,30022,2776.0
24,Rock Springs Park Dog Park,34.0381647,-84.0228284,30024,902.0
25,Tinsley Park Dog Park,35.2014749,-84.85687159999999,37312,2206.0
26,Chattapoochee Dog Park,34.0277284,-84.1393066,30097,1234.0
27,Rabbit Hill Park- Dog Park,33.9969997,-83.9244246,30019,212.0
28,PetSafe Pistol Creek Dog Park,35.7584374,-83.9757908,37803,498.0
29,McDaniel Farm Dog Park and Playground,33.9717123,-84.1201033,30096,1276.0
30,Laurel Bark Park,34.3527608,-83.8078452,30506,268.0
31,Bartow County Dog Park,34.2365264,-84.8614959,30120,126.0
32,Lakeshore Dog Park,34.7513349,-84.97440449999999,30720,546.0
33,Fowler Dog Park,34.1464424,-84.20982819999999,30040,442.0
34,Dog Park at Sweat Mountain,34.0562873,-84.4735178,30066,428.0
35,Farmers Barket Dog Park,34.8859046,-83.94893739999999,30512,42.0
36,Gatlinburg Dog Park,35.7388556,-83.4481563,37738,76.0
37,Victor-Lord Dog park,33.975702,-83.7135327,30680,54.0
38,Cherokee Bluffs Dog Park,34.1344504,-83.9127803,30542,132.0
39,Waynesville Dog Park,35.5008734,-82.9803036,28786,66.0
40,Pitner Road Dog Park,34.0166154,-84.726069,30101,624.0
41,McDaniel Farm Dog Park and Playground,33.9717123,-84.1201033,30096,1276.0
42,Wiggley Field,33.925333,-83.31047199999999,30605,548.0
43,Morgan Falls River Park / Dog Park,33.9663694,-84.3817206,30350,1848.0
44,Laurel Bark Park,34.3527608,-83.8078452,30506,268.0
45,Oconee Veterans Park Bark Park,33.8808943,-83.4829512,30622,188.0
46,Harbins Dog Park,33.9150382,-83.8400549,30019,434.0
47,Heritage Park Dog Park Off-Leash,35.00839089999999,-85.1492897,37421,1372.0
48,Burger Park,33.8902339,-84.5330518,30080,658.0
49,Rabbit Hill Park- Dog Park,33.9969997,-83.9244246,30019,212.0
50,Bartow County Dog Park,34.2365264,-84.8614959,30120,126.0
51,Rock Springs Park Dog Park,34.0381647,-84.0228284,30024,902.0
52,Newtown Dream Dog Park,34.0204337,-84.2666495,30022,2776.0
53,Waggy World Paw Park,34.0715502,-84.3024543,30009,322.0
54,Smyrna Dog Park,33.8691408,-84.5310868,30082,456.0
55,Graves Dog Park,33.8959681,-84.2256147,30093,242.0
56,Dallas Dog Park,33.9223748,-84.83533779999999,30132,592.0
57,Cornelia Bark Park,34.5144616,-83.52049339999999,30531,160.0
58,Woofstock Dog Park,34.0973727,-84.5297551,30188,1856.0
59,Coal Mountain Dog Park,34.2695599,-84.08369929999999,30028,234.0
60,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
61,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
62,Wiggley Field,33.925333,-83.31047199999999,30605,548.0
63,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
64,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
65,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
66,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
67,Hartwell Dog Park,34.3412184,-82.9173873,30643,60.0
68,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
69,Walden Glen Dog Park,33.5259773,-82.1406971,30809,8.0
70,Clarks Hill Park Dog Beach,33.672062,-82.188131,29821,92.0
71,The Dog Park,34.5071109,-82.64657340000001,29621,366.0
72,Meadowbrook Park,33.40459999999999,-82.07506099999999,30906,86.0
73,Valley Park,33.4674383,-82.05859,30909,84.0
74,Toxaway Park,34.5059409,-82.6336783,29621,17.0
75,Boykin Road Park,33.3624084,-82.0660797,30906,34.0
76,Southeast Clarke Park,33.9270109,-83.3069802,30605,1640.0
77,Grace Street Park,34.2111215,-82.1688288,29649,780.0
78,Riverside Park,33.580526,-82.13183880000001,30809,1028.0
79,Pendleton King Park,33.4616386,-82.01399359999999,30904,2532.0
80,Dog Park at Evans Town Center Park,33.54216950000001,-82.1296256,30809,568.0
81,North Augusta Bark Park,33.489077,-81.9707349,29841,402.0
82,Fort Eisenhower Dog Park,33.4102784,-82.1300112,30905,242.0
83,Goodale Dog Park,33.4570766,-82.2030984,30813,406.0
84,Lexington Paw Park,33.979042,-81.26015600000001,29072,76.0
85,Bark West Dog Park - Registration Required,33.9851834,-81.0900764,29169,28.0
86,Grace St Dog Park,34.2112367,-82.1685862,29649,100.0
87,Hartwell Dog Park,34.3412184,-82.9173873,30643,60.0
88,Carnesville Paws & Play Park,34.3687571,-83.2351022,30521,2.0
89,Pendleton King Park - Dog Park,33.4611747,-82.0140301,30904,10.0
