,zip,Total Pop,Median income,Max Pop,Max Inc,Pop Score,Inc Score,latitude,longitude,irs_estimated_population,dogParkScore,petStoreScore,dogParkFinalScore,petStoreFinalScore,ZipScore,primary_city
0,32259,20520,142263,26800,142263,8,10,30.08,-81.59,65720,223640.0,906,5,5,6.611111111111111,Saint Johns
1,32081,8250,129875,26800,142263,3,9,30.08,-81.4,27360,123494.0,603,5,5,5.555555555555555,Ponte Vedra
2,30809,16043,125020,26800,142263,6,9,33.56,-82.17,50770,47708.0,59,2,1,3.9444444444444446,Evans
3,32082,12160,121484,26800,142263,5,9,30.23,-81.38,30150,503384.0,1433,7,6,6.833333333333333,Ponte Vedra Beach
4,32003,11291,117414,26800,142263,4,8,30.1,-81.71,27600,353018.0,1536,6,7,6.388888888888889,Fleming Island
5,32092,15283,113589,26800,142263,6,8,29.94,-81.51,46750,81338.0,124,4,2,4.666666666666667,Saint Augustine
6,32095,5791,111084,26800,142263,2,8,30.01,-81.41,18490,81250.0,165,4,2,4.0,Saint Augustine
7,32266,3020,109375,26800,142263,1,8,30.31,-81.39,6600,910746.0,1780,9,8,7.166666666666667,Neptune Beach
8,32250,12654,104943,26800,142263,5,7,30.29,-81.39,25930,910746.0,1780,9,8,7.611111111111111,Jacksonville Beach
9,32669,5857,97639,26800,142263,2,7,29.64,-82.61,15960,54918.0,114,3,2,3.4444444444444446,Newberry
10,32226,6618,97625,26800,142263,2,7,30.48,-81.51,20730,662479.0,1030,8,6,6.222222222222222,Jacksonville
11,32258,15436,95926,26800,142263,6,7,30.14,-81.55,35010,592366.0,2031,7,8,7.111111111111111,Jacksonville
12,32034,17262,95869,26800,142263,6,7,30.65,-81.44,36540,31019.0,3,2,1,3.5,Fernandina Beach
13,32065,13601,91770,26800,142263,5,6,30.15,-81.8,37830,409938.0,1809,6,8,6.388888888888889,Orange Park
14,32223,10348,90833,26800,142263,4,6,30.16,-81.65,24130,304228.0,2116,6,8,6.222222222222222,Jacksonville
15,32080,10086,87285,26800,142263,4,6,29.8,-81.26,20370,26612.0,125,2,2,3.2222222222222223,Saint Augustine
16,32653,6344,86508,26800,142263,2,6,29.74,-82.39,12740,100180.0,460,5,4,4.444444444444445,Gainesville
17,32097,8210,83933,26800,142263,3,6,30.63,-81.57,22690,101261.0,151,5,2,4.055555555555555,Yulee
18,32225,21391,83324,26800,142263,8,6,30.36,-81.51,52950,1221852.0,1954,10,8,8.222222222222221,Jacksonville
19,30802,2137,82853,26800,142263,1,6,33.6,-82.31,6260,12612.0,32,1,1,2.111111111111111,Appling
20,32697,71,82083,26800,142263,0,6,29.93,-82.43,741,80.0,0,1,1,1.9444444444444444,Worthington Springs
21,32224,15579,82055,26800,142263,6,6,30.27,-81.47,34350,896780.0,2211,9,8,7.555555555555555,Jacksonville
22,32033,2027,81160,26800,142263,1,6,29.78,-81.42,4490,27324.0,124,2,2,2.7222222222222223,Elkton
23,30813,14454,81133,26800,142263,5,6,33.44,-82.2,44950,34232.0,55,2,1,3.111111111111111,Grovetown
24,32222,6327,81045,26800,142263,2,6,30.22,-81.83,15550,241230.0,1487,5,6,5.0,Jacksonville
25,32068,20307,81030,26800,142263,8,6,30.05,-81.9,53910,59928.0,535,3,5,5.055555555555555,Middleburg
26,32605,10758,80939,26800,142263,4,6,29.68,-82.37,21360,194480.0,629,5,5,5.055555555555555,Gainesville
27,32257,17305,80644,26800,142263,6,6,30.19,-81.61,36020,717856.0,2598,8,9,7.5,Jacksonville
28,32227,561,79375,26800,142263,0,6,30.39,-81.4,1870,698620.0,1048,8,6,5.666666666666667,Jacksonville
29,32233,9802,79363,26800,142263,4,6,30.33,-81.4,21210,878474.0,1868,9,8,7.222222222222222,Atlantic Beach
30,32234,3055,78997,26800,142263,1,6,30.23,-81.98,7240,59498.0,533,3,5,3.888888888888889,Jacksonville
31,32658,60,78796,26800,142263,0,6,29.85,-82.42,668,13440.0,217,1,3,2.5,La Crosse
32,30907,17874,77831,26800,142263,7,5,33.52,-82.09,44640,52232.0,89,3,1,3.5555555555555554,Augusta
33,32606,10266,77733,26800,142263,4,5,29.68,-82.44,21360,151178.0,564,5,5,4.833333333333333,Gainesville
34,32220,4590,77038,26800,142263,2,5,30.34,-81.86,11700,238956.0,1047,5,6,4.777777777777778,Jacksonville
35,32043,11697,76405,26800,142263,4,5,29.98,-81.67,35270,112906.0,415,5,4,4.555555555555555,Green Cove Springs
36,32221,10732,75865,26800,142263,4,5,30.26,-81.85,28390,240670.0,1209,5,6,5.111111111111111,Jacksonville
37,32246,23275,74401,26800,142263,9,5,30.29,-81.52,50940,894646.0,2406,9,8,7.833333333333333,Jacksonville
38,32009,1413,74098,26800,142263,1,5,30.38,-81.93,3150,174186.0,275,5,3,3.7777777777777777,Bryceville
39,32137,19504,73689,26800,142263,7,5,29.57,-81.21,43610,20412.0,300,1,4,3.7222222222222223,Palm Coast
40,30814,3433,72977,26800,142263,1,5,33.41,-82.31,9040,8568.0,26,1,1,1.8888888888888888,Harlem
41,32667,1816,72179,26800,142263,1,5,29.5,-82.28,3300,96260.0,243,4,3,3.4444444444444446,Micanopy
