,zip,latitude,longitude,irs_estimated_population,location,DogParkrating,PetStoreCount,count
0,30512,34.87,-83.95,18470,"34.87,-83.95",14086,,22.0
1,30514,34.87,-83.95,2962,"34.87,-83.95",14086,,22.0
2,30572,34.73,-84.06,960,"34.73,-84.06",18612,,26.0
3,30802,33.6,-82.31,6260,"33.6,-82.31",9079,,30.0
4,30809,33.56,-82.17,50770,"33.56,-82.17",4402,,50.0
5,30813,33.44,-82.2,44950,"33.44,-82.2",5800,,46.0
6,30814,33.41,-82.31,9040,"33.41,-82.31",8732,,26.0
7,30903,33.49,-82.16,995,"33.49,-82.16",7190,,48.0
8,30907,33.52,-82.09,44640,"33.52,-82.09",4998,,46.0
9,32003,30.1,-81.71,27600,"30.1,-81.71",8064,,24.0
10,32004,30.23,-81.38,1133,"30.23,-81.38",8240,,20.0
11,32006,30.11,-81.72,435,"30.11,-81.72",9383,,22.0
12,32009,30.38,-81.93,3150,"30.38,-81.93",8609,,26.0
13,32011,30.56,-81.83,15090,"30.56,-81.83",8164,,24.0
14,32024,30.09,-82.73,17310,"30.09,-82.73",6379,,36.0
15,32025,30.11,-82.58,15990,"30.11,-82.58",8620,,28.0
16,32026,30.06,-82.19,65,"30.06,-82.19",4861,,22.0
17,32030,30.12,-81.76,86,"30.12,-81.76",7676,,22.0
18,32033,29.78,-81.42,4490,"29.78,-81.42",11519,,22.0
19,32034,30.65,-81.44,36540,"30.65,-81.44",8162,,24.0
20,32035,30.65,-81.44,1953,"30.65,-81.44",8162,,24.0
21,32038,29.92,-82.71,8570,"29.92,-82.71",9457,,34.0
22,32040,30.27,-82.16,7740,"30.27,-82.16",4851,,22.0
23,32041,30.63,-81.57,1804,"30.63,-81.57",8116,,24.0
24,32042,29.88,-82.24,392,"29.88,-82.24",5937,,22.0
25,32043,29.98,-81.67,35270,"29.98,-81.67",9425,,24.0
26,32044,29.86,-82.13,1480,"29.86,-82.13",10761,,22.0
27,32046,30.69,-81.92,8900,"30.69,-81.92",8116,,24.0
28,32050,30.05,-81.9,1897,"30.05,-81.9",10323,,24.0
29,32054,30.02,-82.33,9240,"30.02,-82.33",8206,,22.0
30,32055,30.19,-82.64,13500,"30.19,-82.64",9412,,28.0
31,32056,30.19,-82.64,3635,"30.19,-82.64",9412,,28.0
32,32058,30.04,-82.07,3190,"30.04,-82.07",8518,,24.0
33,32061,30.1,-82.49,300,"30.1,-82.49",7221,,24.0
34,32063,30.28,-82.12,12490,"30.28,-82.12",4019,,22.0
35,32065,30.15,-81.8,37830,"30.15,-81.8",7676,,24.0
36,32067,30.16,-81.7,1087,"30.16,-81.7",8315,,24.0
37,32068,30.05,-81.9,53910,"30.05,-81.9",10323,,24.0
